Year,Album,Artist
2008,These Days,Vince Gill
2008,Graduation,Kanye West
2008,Back to Black,Amy Winehouse
2009,Viva la Vida or Death and All His Friends,Coldplay
2009,Year of the Gentleman,Ne Yo
2009,In Rainbows,Radiohead
2009,Tha Carter III,Lil Wayne
2010,I Am Sasha Fierce,Beyonce
2010,The E N D The Energy Never Dies,The Black Eyed Peas
2010,The Fame,Lady Gaga
2010,Big Whiskey and the GrooGrux King,Dave Matthews Band
2011,Recovery,Eminem
2011,Need You Now,Lady Antebellum
2011,The Fame Monster,Lady Gaga
2011,Teenage Dream,Katy Perry
2012,Wasting Light,Foo Fighters
2012,Born This Way,Lady Gaga
2012,Doo Wops Hooligans,Bruno Mars
2012,Loud,Rihanna
2013,El Camino,The Black Keys
2013,Some Nights,Fun
2013,Channel Orange,Frank Ocean
2013,Blunderbuss,Jack White
2014,The Blessed Unrest,Sara Bareilles
2014,Good Kid M A A D City,Kendrick Lamar
2014,The Heist,Macklemore and Ryan Lewis
2014,Red,Taylor Swift
2015,Beyonce,Beyonce
2015,X Multiply,Ed Sheeran
2015,G I R L,Pharrell Williams
2015,In the Lonely Hour,Sam Smith
2016,Sound & Color,Alabama Shakes
2016,To Pimp a Butterfly,Kendrick Lamar
2016,Traveller,Chris Stapleton
2016,Beauty Behind the Madness,The Weeknd
2017,Lemonade,Beyonce
2017,Purpose,Justin Bieber
2017,Views,Drake
2017,A Sailor S Guide to Earth,Sturgill Simpson
2018,"Awaken, My Love!",Childish Gambino
2018,4 44,Jay Z
2018,Damn,Kendrick Lamar
2018,Melodrama,Lorde
