artist,album,year,winner,Decade,sentiment
Various Artists,Flashdance (Original Motion Picture Soundtrack),1984,0,80s,22
Dixie Chicks,Fly,2e3,0,00s,45
Frank Sinatra,Francis Albert Sinatra Antonio Carlos Jobim,1968,0,60s,9
Eric Clapton,From the Cradle,1995,0,90s,14
Tom Petty,Full Moon Fever,1990,0,90s,25
Original Broadway Cast of Funny Girl,Funny Girl (Original Broadway Cast Recording),1965,0,60s,91
Justin Timberlake,FutureSex/LoveSounds,2007,0,00s,182
Pharrell Williams,G I R L,2015,0,10s,190
Steely Dan,Gaucho,1982,0,80s,3
Billy Joel,Glass Houses,1981,0,80s,-37
Kendrick Lamar,Good Kid M A A D City,2014,0,10s,-103
Kanye West,Graduation,2008,0,00s,112
Barbra Streisand,Guilty,1981,0,80s,19
Amy Grant,Heart in Motion,1992,0,90s,98
Linda Ronstadt,Heart Like a Wheel,1976,0,70s,31
The Beatles,Help,1966,0,60s,3
Michael Jackson,"History Past, Present and Future, Book I",1996,0,90s,-173
Dixie Chicks,Home,2003,0,00s,120
Al Hirt,Honey in the Horn,1964,0,60s,5
Eagles,Hotel California,1978,0,70s,54
Beyonce,I Am Sasha Fierce,2010,0,10s,147
Radiohead,In Rainbows,2009,0,00s,-29
Sam Smith,In the Lonely Hour,2015,0,10s,44
KD Lang,Ingenue,1993,0,90s,-13
Vikki Carr,It Must Be Him,1968,0,60s,26
Jesus Christ Superstar Original Studio Cast,Jesus Christ Superstar a Rock Opera,1972,0,70s,-86
James Taylor,JT,1978,0,70s,-6
Justin Timberlake,Justified,2004,0,00s,160
Donald Fagen,Kamakiriad,1994,0,90s,-3
Radiohead,Kid A,2001,0,00s,16
Roberta Flack,Killing Me Softly,1974,0,70s,11
Kanye West,Late Registration,2006,0,00s,33
Beyonce,Lemonade,2017,0,10s,61
David Bowie,Let's Dance,1984,0,80s,47
Bonnie Raitt,Longing in Their Hearts,1995,0,90s,51
Rihanna,Loud,2012,0,10s,92
Bob Dylan,Love and Theft,2002,0,00s,7
Gwen Stefani,Love. Angel. Music. Baby.,2006,0,00s,18
Bonnie Raitt,Luck of the Draw,1992,0,90s,-7
The Beatles,Magical Mystery Tour,1969,0,60s,29
Mariah Carey,Mariah Carey,1991,0,90s,2
Smashing Pumpkins,Mellon Collie and the Infinite Sadness,1997,0,90s,-48
Lorde,Melodrama,2018,0,10s,-21
Beck,Midnite Vultures,2001,0,00s,-3
Backstreet Boys,Millennium,2e3,0,00s,61
The Doobie Brothers,Minute by Minute,1980,0,80s,35
Kim Carnes,Mistaken Identity,1982,0,80s,-18
Neil Diamond,Moods,1973,0,70s,49
Ed Ames,My Cup Runneth Over,1968,0,60s,26
Barbra Streisand,My Name is Barbra,1966,0,60s,45
Eddy Arnold,My World,1966,0,60s,21
Lady Antebellum,Need You Now,2011,0,10s,87
Nelly,Nellyville,2003,0,00s,0
Frank Sinatra,Nice N Easy,1961,0,60s,32
Harry Nilsson,Nilsson Schmilsson,1973,0,70s,27
Sting,Nothing Like the Sun,1989,0,80s,-1
Bobbie Gentry,Ode to Billie Joe,1968,0,60s,-8
Beck,Odelay,1997,0,90s,-53
Radiohead,OK Computer,1998,0,90s,-38
Eagles,One of These Nights,1976,0,70s,-18
REM,Out of Time,1992,0,90s,7
Barbra Streisand,People,1965,0,60s,42
MC Hammer,Please Hammer Don't Hurt 'Em,1991,0,90s,56
Tina Turner,Private Dancer,1985,0,80s,78
Prince and The Revolution,Purple Rain,1985,0,80s,-14
Justin Bieber,Purpose,2017,0,10s,110
Madonna,Ray of Light,1999,0,90s,10
Eminem,Recovery,2011,0,10s,-276
Taylor Swift,Red,2014,0,10s,119
Joan Osborne,Relish,1996,0,90s,70
The Beatles,Revolver,1967,0,60s,34
Billy Joel,River of Dreams,1994,0,90s,-10
Steve Winwood,Roll with It,1989,0,80s,41
Jackson Browne,Running on Empty,1979,0,70s,22
Seal,Seal,1995,0,90s,128
Isaac Hayes,Shaft,1972,0,70s,0
